Plant species,Plant variety,Plant genotype,Plant mutant ,Mutant type,Plant age (weeks),Tissue,ABA treatment,App method,Concentration (μm),Pathogen type,Pathogen lifestyle,Pathogen species,Elicitor,% Resistance Change,Binary,Ref
Arabidopsis,,NahG-pmr4-1,OTHER,SA/callose,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,BABA,21.875,Resistant,Flors et al 2007
Arabidopsis,,NahG,OTHER,SA,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,N/A,36.84210526,Resistant,Flors et al 2007
Arabidopsis,,sid2,OTHER,SA,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,N/A,41.93548387,Resistant,Flors et al 2007
Arabidopsis,,Col-0,WT,WT,4,Leaves,ABA,N/A,80,Fungus,Necrotrophic,A. brassicola,N/A,45.83333333,Resistant,Flors et al 2007
Arabidopsis,,sid2,OTHER,SA,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,BABA,51.11111111,Resistant,Flors et al 2007
Arabidopsis,,pmr4-1,OTHER,callose,4,Leaves,ABA,soil drench,80,Fungus,Necrotrophic,A. brassicola,N/A,54.70588235,Resistant,Flors et al 2007
Tomato,Money Maker,WT,WT,WT,5,Leaves,ABA,soil drench,100,Fungus,Necrotrophic,B. cinerea,N/A,-25.64102564,Susceptible,Audenaert et al
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,500,Fungus,Biotrophic,O. neolycopersici,N/A,-25.47065338,Susceptible,Achuo et al 2006
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,250,Fungus,Biotrophic,O. neolycopersici,N/A,-22.92358804,Susceptible,Achuo et al 2006
Arabidopsis,,cds2-1D,OTHER,Susceptibility,3,Leaves,N/A,N/A,0,Oomycete,Biotrophic,H. arabidopsis,N/A,-22.91666667,Susceptible,Fan et al 2009
Arabidopsis,,ocp3,OTHER,callose production,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,53.48837209,Resistant,García-Andrade et al 2011
Arabidopsis,,ocp3,OTHER,callose production,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,56.81818182,Resistant,García-Andrade et al 2011
Arabidopsis,,ocp3,OTHER,callose production,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,59.70149254,Resistant,García-Andrade et al 2011
Arabidopsis,,ocp3,OTHER,callose production,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,60.71428571,Resistant,García-Andrade et al 2011
Arabidopsis,,Col-0,WT,WT,5.5,Leaves,ABA,Spray,100,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,-21.42857143,Susceptible,de Torres-Zabala 2007
Tomato,,WT,WT,WT,4,Leaves,Salt stress,soil drench,0,Bacterium,Hemibiotroph,P. syringae,N/A,-20.7761194,Susceptible,Thaler and Bostock 2004
Arabidopsis,,cds2-1D,OTHER,Susceptibility,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,-20.63492063,Susceptible,Fan et al 2009
Arabidopsis,Col-0,abi2-1,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,18.91891892,Resistant,Hernández-Blanco 2007
Arabidopsis,Col-0,abi1-1,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,43.24324324,Resistant,Hernández-Blanco 2007
Arabidopsis,Col-0,abi1-6,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,52.38095238,Resistant,Hernández-Blanco 2007
Arabidopsis,,Col-0,WT,WT,5,Leaves,ABA,spray,50,Fungus,Necrotrophic,B. cinerea,N/A,-20,Susceptible,Hailer et al 2021
Tomato,Money Maker,WT,WT,WT,4,Leaves,ABA,spray,100,Bacterium,Necrotrophic,E. chrysanthemi,N/A,-18.82425743,Susceptible,Asselbergh et al 2008
Orange,Pinalate,Pinalate,ABA,ABA,208,Fruit,NFZ,N/A,0,Fungus,Necrotrophic,P. digitatum,NFZ,-100,Susceptible,Lafuente et al 2019
Orange,Navelate,WT,WT,WT,208,Fruit,N/A,N/A,0,Fungus,Necrotrophic,P. digitatum,NFZ,-57.14285714,Susceptible,Lafuente et al 2019
Orange,Navelate,WT,WT,WT,208,Fruit,ABA,Dipping,1000,Fungus,Necrotrophic,P. digitatum,N/A,9.523809524,Resistant,Lafuente et al 2019
Orange,Pinalate,Pinalate,ABA,ABA,208,Fruit,ABA,Dipping,1000,Fungus,Necrotrophic,P. digitatum,N/A,42.85714286,Resistant,Lafuente et al 2019
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,100,Fungus,Biotrophic,O. neolycopersici,N/A,-18.49390919,Susceptible,Achuo et al 2006
Arabidopsis,,Col-0,WT,WT,5.5,Leaves,ABA,Spray,100,Bacterium,Hemibiotroph,P. syringae DC3000 hrpA-,N/A,-18.42105263,Susceptible,de Torres-Zabala 2007
Arabidopsis,,WT,WT,WT,4,Leaves,ABA,spray,10,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,10.76923077,Resistant,Lim et al 2014
Arabidopsis,,RCAR3-OX 2,OTHER,ABA hypersensitive,4,Leaves,ABA,spray,10,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,7.407407407,Resistant,Lim et al 2014
Arabidopsis,,RCAR3-OX 1,OTHER,ABA hypersensitive,4,Leaves,ABA,spray,10,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,8.620689655,Resistant,Lim et al 2014
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,50,Fungus,Biotrophic,O. neolycopersici,N/A,-16.94352159,Susceptible,Achuo et al 2006
Tomato,cv. Ailsa Craig,WT,WT,WT,5.5,Leaves,ABA,N/A,100000,Fungus,Necrotrophic,B. cinerea,N/A,-15.78947368,Susceptible,Sivakumaran et al 2016
Soybean,,Kingwa,WT,WT,1,Leaves,Norflurazon,N/A,0,Oomycete,Hemibiotroph,P. sojae,N/A,13.20754717,Resistant,Mohr et al 2001
Soybean,,Harosoy,WT,WT,1,Leaves,Norflurazon,N/A,0,Oomycete,Hemibiotroph,P. sojae,N/A,63.86554622,Resistant,Mohr et al 2001
Arabidopsis,,Col-0,WT,WT,5,Leaves,ABA,infiltration,10,Bacterium,Hemibiotroph,P. syringae,N/A,-14.49275362,Susceptible,Fan et al 2009
Arabidopsis,,abi2-1,ABA,ABA insensitive,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-14.28571429,Susceptible,Xiao et al 2017
Arabidopsis,,abi-sup5,ABA,ABA insensitive,5.5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,-12.5,Susceptible,de Torres-Zabala 2007
Arabidopsis,,areb,ABA,ABA TF mut,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-11.76470588,Susceptible,Berens et al 2019
Arabidopsis,,areb,ABA,ABA TF mut,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-10.44776119,Susceptible,Berens et al 2019
Arabidopsis,,Col-0,WT,WT,4,Leaves,ABA,spray,50,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,-10.29411765,Susceptible,Tan et al 2019
Arabidopsis,,pr2-1,OTHER,callose production,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,0.495867751,Resistant,Oide et al 2013
Arabidopsis,,pmr4pad3,OTHER,callose production,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,3.801652955,Resistant,Oide et al 2013
Arabidopsis,,35S::PR2pad3,OTHER,ABA biosynthesis OE,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,6.611570291,Resistant,Oide et al 2013
Arabidopsis,,pmr4,OTHER,callose production,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,11.57024792,Resistant,Oide et al 2013
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,N/A,10,Fungus,Necrotrophic,B. cinerea,N/A,-10,Susceptible,Achuo et al 2006
Arabidopsis,,RCAR3-OX 1,OTHER,ABA hypersensitive,4,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,-9.523809524,Susceptible,Lim et al 2014
Arabidopsis,,abi5,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,-9.401709402,Susceptible,Perchepied et al 2010
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,N/A,10,Fungus,Necrotrophic,B. cinerea,N/A,-9.210526316,Susceptible,Achuo et al 2006
Arabidopsis,Col-0,Col-0,WT,WT,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-9.090909091,Susceptible,Berens et al 2019
Barley,Ingrid,WT,WT,WT,4,Leaves,ABA,Root,1,Fungus,Biotrophic,B. graminis,N/A,-9,Susceptible,Wiese et al 2004
Tomato,Money Maker,WT,WT,WT,5,Leaves,ABA,soil drench,1,Fungus,Necrotrophic,B. cinerea,N/A,-8.974358974,Susceptible,Audenaert et al
Tomato,Money Maker,WT,WT,WT,5,Leaves,ABA,soil drench,10,Fungus,Necrotrophic,B. cinerea,N/A,-8.974358974,Susceptible,Audenaert et al
Arabidopsis,,Rbz-1,WT,WT,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,24.82758621,Resistant,Perchepied et al 2010
Arabidopsis,Col-0,Col-0,WT,WT,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-8.823529412,Susceptible,Berens et al 2019
Arabidopsis,,abi1-1,ABA,ABA insensitive,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-8.571428571,Susceptible,Xiao et al 2017
Arabidopsis,,quadr pyr/pyl,ABA,ABA signalling,3,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,40,Resistant,Sanchez-Vallet et al 2012
Arabidopsis,,aba1-6,ABA,Aba biosynthesis,3,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,42,Resistant,Sanchez-Vallet et al 2012
Arabidopsis,Col-0,ein2,OTHER,ET signalling,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-8.108108108,Susceptible,Berens et al 2019
Arabidopsis,,RCAR3-OX 2,OTHER,ABA hypersensitive,4,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,-7.936507937,Susceptible,Lim et al 2014
Tomato,,WT,WT,WT,4,Leaves,ABA,soil drench,1,Fungus,Necrotrophic,A solani,N/A,15.27967258,Resistant,Song et al 2011
Tomato,,WT,WT,WT,4,Leaves,ABA,spray,8,Fungus,Necrotrophic,A solani,N/A,39.92723965,Resistant,Song et al 2011
Soybean,,Harosoy,WT,WT,1,Leaves,ABA,N/A,8,Oomycete,Hemibiotroph,P. sojae,N/A,-6.722689076,Susceptible,Mohr et al 2001
Tomato,,sitiens,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,40.95744681,Resistant,Thaler and Bostock 2004
Arabidopsis,,WT,WT,WT,5,Leaves,ABA,soil drench,80,Fungus,Necrotrophic,P cucumerina,N/A,21.42857143,Resistant,Ton et al 2004
